,Sector,One Day(%),MTD(%),QTD(%),YTD(%)
10,Communications,0.392761958198884,7.0125598086124405,6.061055127445152,6.0610551274452105
11,Discretionary,0.4174975074775711,-0.530831430158618,0.23012812538874,0.23012812538871802
12,Staples,-1.61641280696302,-1.23264159775317,-6.1527057079318,-6.1527057079317595
13,Energy,-2.37226277372263,22.4567650050865,27.0448548812665,27.0448548812664
14,Financials,-1.91256830601092,11.6062176165803,9.599728629579381,9.59972862957925
15,Health Care,-0.8627520028171579,-2.10379900895419,-0.7316643159379409,-0.7316643159379742
16,Industrials,-1.03757099169943,6.88922968031143,2.32636928289103,2.32636928289103
17,Materials,-1.2751677852349,4.11947904869763,1.60243127503799,1.60243127503803
18,Real Estate,-1.73684210526315,1.57780195865072,2.13347921225384,2.13347921225382
19,Tech,0.530769230769224,1.3650818273481595,0.5153053376403479,0.515305337640415
20,Utilities,-1.84998318197107,-6.098149637972652,-6.9218500797448215,-6.921850079744849
26,S&P 500 (SPY),-0.515261684931856,2.78055503012944,1.7331764202418,1.73317642024171
